시간,종목코드,거래타입,거래가,수량,총거래금,세금,수수료,수익금,수익률,Unnamed: 10,종목명
2024.8/5.13:3:46,/082640,Buy.,7980,1.2531328320802004,10000.0,0.0,1.1969999999999998,0.0,0.0,,
2024.8/5.13:3:47,/139130,Buy.,7660,1.3054830287206267,10000.0,0.0,1.149,0.0,0.0,,
2024.8/5.13:3:48,/082640,Sell,8060,1.2531328320802004,10100.250626566416,16.12,1.209,116.0,1.1598611646185952,,
2024.8/5.13:3:48,/139130,Sell,7720,1.3054830287206267,10078.328981723238,15.44,1.158,93.0,0.9298931552764588,,
2024.8/6.9:37:52,/018880,Buy.,4030,2.481389578163772,10000.0,0.0,0.6044999999999999,0.0,0.0,,
2024.8/6.9:37:52,/003690,Buy.,7990,1.2515644555694618,10000.0,0.0,1.1985,0.0,0.0,,
2024.8/6.9:37:53,/018880,Sell,4050,2.481389578163772,10049.627791563276,8.1,0.6075,57.0,0.5699655455827696,,
2024.8/6.9:37:53,/003690,Sell,8000,1.2515644555694618,10012.515644555697,16.0,1.2,28.0,0.2799664460214443,,
2024.8/6.9:39:26,/082640,Buy.,8170,1.2239902080783354,10000.0,0.0,1.2255,0.0,0.0,,
2024.8/6.9:39:27,/047040,Buy.,3750,2.6666666666666665,10000.0,0.0,0.5625,0.0,0.0,,
2024.8/6.9:39:27,/082640,Sell,8200,1.2239902080783354,10036.71970624235,16.4,1.23,53.0,0.529935056458831,,
2024.8/6.9:39:28,/047040,Sell,3760,2.6666666666666665,10026.666666666666,7.52,0.564,34.0,0.3399808760757207,,
2024.8/6.9:41:40,/395400,Buy.,5000,2.0,10000.0,0.0,0.75,0.0,0.0,,
2024.8/6.9:41:40,/018880,Buy.,4025,2.484472049689441,10000.0,0.0,0.60375,0.0,0.0,,
2024.8/6.9:41:41,/395400,Sell,5020,2.0,10040.0,10.04,0.753,50.0,0.4999625028122891,,
2024.8/6.9:41:41,/018880,Sell,4035,2.484472049689441,10024.844720496894,8.07,0.60525,32.0,0.3199806811663745,,
2024.8/6.9:52:54,/395400,Buy.,5030,1.9880715705765408,10000.0,0.0,0.7545000000000001,0.0,0.0,,
2024.8/6.9:52:55,/002350,Buy.,7710,1.297016861219196,10000.0,0.0,1.1565,0.0,0.0,,
2024.8/6.9:52:56,/293940,Buy.,6500,1.5384615384615383,10000.0,0.0,0.975,0.0,0.0,,
2024.8/6.9:52:56,/000370,Buy.,5290,1.890359168241966,10000.0,0.0,0.7935,0.0,0.0,,
2024.8/6.9:52:57,/395400,Sell,5070,1.9880715705765408,10079.522862823062,10.14,0.7605,89.0,0.8899328545661231,,
2024.8/6.9:52:57,/002350,Sell,7770,1.297016861219196,10077.821011673152,15.54,1.1655,93.0,0.9298924579372396,,
2024.8/6.9:52:58,/293940,Sell,6530,1.5384615384615383,10046.153846153848,13.06,0.9795,59.0,0.5899424806081407,,
2024.8/6.9:52:58,/000370,Sell,5310,1.890359168241966,10037.80718336484,10.62,0.7964999999999999,48.0,0.479961915022043,,
2024.8/6.10:25:21,/020560,Buy.,9470,1.0559662090813091,10000.0,0.0,1.4205,0.0,0.0,,
2024.8/6.10:25:22,/085620,Buy.,5020,1.99203187250996,10000.0,0.0,0.753,0.0,0.0,,
2024.8/6.10:25:22,/020560,Sell,9530,1.0559662090813091,10063.357972544878,19.06,1.4295,82.0,0.819883535543776,,
2024.8/6.10:25:23,/085620,Sell,5050,1.99203187250996,10059.7609561753,10.1,0.7575,69.0,0.6899480469120675,,
2024.8/6.10:43:29,/085620,Buy.,4960,2.0161290322580645,10000.0,0.0,0.7439999999999999,0.0,0.0,,
2024.8/6.10:43:30,/016380,Buy.,5600,1.7857142857142858,10000.0,0.0,0.84,0.0,0.0,,
2024.8/6.10:43:30,/085620,Sell,5030,2.0161290322580645,10141.129032258064,10.06,0.7545000000000001,151.0,1.5098876643577717,,
2024.8/6.10:43:31,/016380,Sell,5670,1.7857142857142858,10125.0,11.34,0.8504999999999999,136.0,1.359885769595354,,
2024.8/6.10:56:36,/272450,Buy.,10000,1.0,10000.0,0.0,1.5,0.0,0.0,,
2024.8/6.10:56:37,/012630,Buy.,8900,1.1235955056179776,10000.0,0.0,1.335,0.0,0.0,,
2024.8/6.10:56:37,/272450,Sell,10070,1.0,10070.0,20.14,1.5104999999999995,90.0,0.899865020246963,,
2024.8/6.10:56:38,/012630,Sell,8940,1.1235955056179776,10044.94382022472,17.88,1.341,62.0,0.6199172410483201,,
2024.8/6.11:3:16,/089590,Buy.,8850,1.1299435028248588,10000.0,0.0,1.3275,0.0,0.0,,
2024.8/6.11:3:17,/093370,Buy.,5740,1.7421602787456445,10000.0,0.0,0.861,0.0,0.0,,
2024.8/6.11:3:17,/089590,Sell,8900,1.1299435028248588,10056.497175141243,17.8,1.335,74.0,0.7399017780389654,,
2024.8/6.11:3:18,/093370,Sell,5770,1.7421602787456445,10052.264808362368,11.54,0.8654999999999999,63.0,0.6299457616699202,,
2024.8/7.9:45:15,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:45:15,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.0,1.4961870954071317,,name
2024.8/7.9:46:50,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:46:50,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.0,1.4961870954071317,,name
2024.8/7.9:50:55,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:50:55,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/7.9:51:48,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:51:48,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/7.9:52:3,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:52:3,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/7.9:55:40,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:55:40,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/7.9:57:9,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/7.9:57:9,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/8.8:49:40,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/8.8:49:40,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/8.8:54:29,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0.0,0.0,,name
2024.8/8.8:54:29,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
2024.8/8.11:35:29,/005930,Buy.,70000,3.0,210000.0,1.23456789,1.23456789,0,0,,name
2024.8/8.11:35:29,/005930,Sell,71000,3.0,213000.0,1.23456789,1.23456789,3142.149999999994,1.4961870954071317,,name
