0,1,2,3,4
2024_8_7]9]56]42,000370,000370,"['1452', '552', '675', '3036', '2146', '1921', '418', '1914', '2545', '2773', '1753', '1477', '636', '100', '3388', '170', '4350', '5239', '5281', '7074']","['-5070', '-5080', '-5090', '-5100', '-5110', '-5120', '-5130', '-5140', ' 5150', '+5160', '+5180', '+5190', '+5200', '+5210', '+5220', '+5230', '+5240', '+5250', '+5260', '+5270']"
2024_8_7]9]56]42,003280,003280,"['54055', '46462', '200373', '132314', '104707', '94742', '69016', '69385', '51413', '16662', '14659', '24567', '22862', '30412', '17618', '21233', '21079', '25439', '30467', '39046']","['-2690', '-2695', '-2700', '-2705', '-2710', '-2715', '-2720', '-2725', '-2730', '-2735', '-2740', '-2745', '-2750', '-2755', '-2760', '-2765', '-2770', '-2775', '-2780', '-2785']"
2024_8_7]9]56]42,032640,032640,"['563', '135', '11157', '7131', '10053', '3651', '1661', '2524', '2737', '2621', '3173', '1045', '2795', '4984', '5438', '6513', '4350', '7650', '12930', '12955']","['+9780', '+9790', '+9800', '+9810', '+9820', '+9830', '+9840', '+9850', '+9860', '+9870', '+9880', '+9890', '+9900', '+9910', '+9920', '+9930', '+9940', '+9950', '+9960', '+9970']"
2024_8_7]9]56]42,042670,042670,"['4290', '2185', '1587', '3713', '3233', '1829', '1428', '1414', '200', '457', '1192', '1961', '2981', '7051', '10220', '9240', '23080', '7253', '3589', '5195']","['+7210', '+7220', '+7230', '+7240', '+7250', '+7260', '+7270', '+7280', '+7290', '+7300', '+7310', '+7320', '+7330', '+7340', '+7350', '+7360', '+7370', '+7380', '+7390', '+7400']"
2024_8_7]9]56]42,137310,137310,"['0', '0', '0', '0', '0', '0', '0', '58', '738', '465', '409', '2696', '825', '0', '0', '0', '0', '0', '0', '0']","['-0', '-0', '-0', '-0', '-0', '-0', '-0', '+10930', '+10940', '+10950', '+10960', '+10970', '+10980', '-0', '-0', '-0', '-0', '-0', '-0', '-0']"
2024_8_7]9]56]42,138930,138930,"['1217', '563', '652', '4', '454', '103', '396', '513', '4849', '28', '38', '22', '7466', '7398', '1914', '4430', '322', '654', '100', '196']","['+9130', '+9140', '+9150', '+9160', '+9170', '+9180', '+9190', '+9200', '+9210', '+9220', '+9230', '+9260', '+9270', '+9280', '+9290', '+9300', '+9310', '+9320', '+9330', '+9340']"
2024_8_7]9]56]42,000370,000370,"['1452', '552', '675', '3036', '2146', '1921', '418', '2693', '2545', '2773', '1753', '1477', '636', '100', '3388', '170', '4350', '5239', '5281', '7074']","['-5070', '-5080', '-5090', '-5100', '-5110', '-5120', '-5130', '-5140', ' 5150', '+5160', '+5180', '+5190', '+5200', '+5210', '+5220', '+5230', '+5240', '+5250', '+5260', '+5270']"
2024_8_7]9]56]42,003280,003280,"['54058', '46462', '200403', '132314', '104707', '94742', '69046', '69385', '51413', '16011', '14659', '24567', '22862', '30412', '17618', '21233', '21079', '25439', '30467', '39046']","['-2690', '-2695', '-2700', '-2705', '-2710', '-2715', '-2720', '-2725', '-2730', '-2735', '-2740', '-2745', '-2750', '-2755', '-2760', '-2765', '-2770', '-2775', '-2780', '-2785']"
2024_8_7]9]56]42,003530,003530,"['10384', '5185', '2811', '921', '12765', '6958', '9892', '3657', '3032', '3929', '149', '1595', '9485', '6620', '11532', '15179', '10340', '210', '5830', '4353']","['+3220', '+3225', '+3230', '+3235', '+3240', '+3245', '+3250', '+3255', '+3260', '+3265', '+3270', '+3275', '+3280', '+3285', '+3290', '+3295', '+3300', '+3305', '+3310', '+3315']"
2024_8_7]9]56]42,003850,003850,"['423', '100', '243', '31', '129', '5', '1964', '558', '871', '295', '38', '150', '600', '192', '204', '999', '1080', '1000', '1416', '1876']","['+10800', '+10810', '+10820', '+10830', '+10840', '+10850', '+10860', '+10870', '+10880', '+10890', '+10900', '+10910', '+10920', '+10930', '+10940', '+10950', '+10970', '+10980', '+10990', '+11000']"
2024_8_7]9]56]42,005880,005880,"['79485', '53818', '113404', '24302', '38463', '53450', '43663', '19103', '23672', '7554', '7859', '9069', '29721', '20216', '19644', '18954', '15698', '38400', '15343', '17379']","['-2000', ' 2005', '+2010', '+2015', '+2020', '+2025', '+2030', '+2035', '+2040', '+2045', '+2050', '+2055', '+2060', '+2065', '+2070', '+2075', '+2080', '+2085', '+2090', '+2095']"
