time,code,name,price,qty
11/15.12:4:26,1,a,2,3.0
11/15 12:4:55,248070,a,-26650,3.0
11/15 12:4:55,248070,a,26800,3.0
11/15 12:4:56,248070,a,26800,
11/15 12:4:56,248070,a,26800,
11/15 12:4:56,248070,a,26800,0.0
11/15 12:4:57,105630,a,-22250,4.0
11/15 12:4:57,105630,a,22400,4.0
11/15 12:4:57,105630,a,22400,
11/15 12:4:57,105630,a,22400,
11/15 12:4:57,105630,a,22400,0.0
11/15 12:4:57,248070,a,26800,
11/15 12:4:57,248070,a,26800,1.0
11/15 12:4:57,248070,a,-26650,3.0
11/15 12:4:57,248070,a,26800,3.0
11/15 12:4:58,248070,a,26800,
11/15 12:4:58,248070,a,26800,3.0
11/15 12:4:58,248070,a,26800,
11/15 12:4:58,248070,a,26800,0.0
11/15 12:4:58,248070,a,-26650,3.0
11/15 12:4:58,248070,a,26800,3.0
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,6040,a,-31300,3.0
11/15 12:4:59,6040,a,31500,3.0
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,248070,a,26800,1.0
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,248070,a,26800,2.0
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,248070,a,26800,3.0
11/15 12:4:59,248070,a,-26650,3.0
11/15 12:4:59,248070,a,26800,3.0
11/15 12:4:59,248070,a,-26650,3.0
11/15 12:4:59,248070,a,26800,3.0
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,248070,a,26800,
11/15 12:4:59,248070,a,26800,0.0
11/15 12:5:0,248070,a,26800,
11/15 12:5:0,248070,a,26800,3.0
11/15 12:5:0,248070,a,-26650,3.0
11/15 12:5:0,248070,a,26800,3.0
11/15 12:5:0,248070,a,26800,
11/15 12:5:0,248070,a,26800,0.0
11/15 12:5:1,248070,a,-26650,3.0
11/15 12:5:1,248070,a,26800,3.0
11/15 12:5:1,248070,a,26800,
11/15 12:5:1,248070,a,-26650,3.0
11/15 12:5:1,248070,a,26800,3.0
11/15 12:5:2,248070,a,-26650,3.0
11/15 12:5:2,248070,a,26800,3.0
11/15 12:5:3,248070,a,26800,
11/15 12:5:3,248070,a,-26650,3.0
11/15 12:5:3,248070,a,26800,3.0
11/15 12:5:26,248070,a,-26650,3.0
11/15 12:5:26,248070,a,26800,3.0
11/15 12:5:26,248070,a,26800,
11/15 12:5:26,248070,a,26800,
11/15 12:5:26,248070,a,26800,6.0
11/15 12:5:26,105630,a,-22250,4.0
11/15 12:5:26,105630,a,22400,4.0
11/15 12:5:27,248070,a,26800,
11/15 12:5:27,248070,a,26800,0.0
11/15 12:5:28,248070,a,-26650,3.0
11/15 12:5:28,248070,a,26800,3.0
11/15 12:5:28,248070,a,26800,
11/15 12:5:28,105630,a,-22250,4.0
11/15 12:5:28,105630,a,22400,4.0
11/15 12:5:28,105630,a,22400,
11/15 12:5:28,105630,a,22400,
11/15 12:5:29,105630,a,22400,0.0
11/15 12:5:29,248070,a,26800,
11/15 12:5:29,248070,a,26800,1.0
11/15 12:5:29,248070,a,-26650,3.0
11/15 12:5:29,248070,a,26800,3.0
11/15 12:5:29,248070,a,26800,
11/15 12:5:29,248070,a,26800,0.0
11/15 12:5:29,248070,a,26800,
11/15 12:5:29,248070,a,26800,
11/15 12:5:30,248070,a,26800,
11/15 12:5:30,248070,a,26800,2.0
11/15 12:5:30,248070,a,26800,4.0
11/15 12:5:30,248070,a,26800,
11/15 12:5:30,248070,a,26800,1.0
11/15 12:5:30,248070,a,-26650,3.0
11/15 12:5:30,248070,a,26800,3.0
11/15 12:5:30,6040,a,-31300,3.0
11/15 12:5:30,6040,a,31500,3.0
11/15 12:5:31,248070,a,-26650,3.0
11/15 12:5:31,248070,a,26800,
11/15 12:7:14,248070,a,-26650,3.0
11/15 12:7:14,248070,a,26800,3.0
11/15 12:7:14,248070,a,26800,
11/15 12:7:14,248070,a,26800,
11/15 12:7:14,248070,a,26800,5.0
11/15 12:7:14,248070,a,-26650,3.0
11/15 12:7:14,248070,a,26800,3.0
11/15 12:7:14,248070,a,26800,
11/15 12:7:14,248070,a,26800,0.0
11/15 12:7:15,248070,a,-26650,3.0
11/15 12:7:15,248070,a,26800,3.0
11/15 12:7:15,248070,a,26800,
11/15 12:7:15,105630,a,-22250,4.0
11/15 12:7:15,105630,a,22400,4.0
11/15 12:7:16,105630,a,22400,
11/15 12:7:16,105630,a,22400,
11/15 12:7:16,105630,a,22400,0.0
11/15 12:7:54,248070,a,-26650,3.0
11/15 12:7:54,248070,a,26800,3.0
11/15 12:7:54,248070,a,26800,
11/15 12:7:54,248070,a,26800,
11/15 12:7:54,248070,a,26800,3.0
11/15 12:7:54,6040,a,-31300,3.0
11/15 12:7:54,6040,a,31500,3.0
11/15 12:7:54,248070,a,26800,
11/15 12:7:54,248070,a,26800,0.0
11/15 12:7:54,105630,a,-22250,4.0
11/15 12:7:54,105630,a,22400,4.0
11/15 12:7:54,248070,a,-26650,3.0
11/15 12:7:54,248070,a,26800,3.0
11/15 12:7:58,105630,a,-22250,4.0
11/15 12:7:58,105630,a,22400,4.0
11/15 12:7:59,105630,a,22400,
11/15 12:7:59,105630,a,22400,
11/15 12:7:59,105630,a,22400,0.0
11/15 12:8:0,248070,a,26800,
11/15 12:8:0,248070,a,26800,3.0
11/15 12:8:0,248070,a,-26650,3.0
11/15 12:8:0,248070,a,26800,3.0
11/15 12:8:0,248070,a,26800,
11/15 12:8:0,248070,a,26800,0.0
11/15 12:8:0,248070,a,26800,
11/15 12:8:0,248070,a,-26650,3.0
11/15 12:8:1,248070,a,26800,3.0
11/15 12:8:1,105630,a,-22250,4.0
11/15 12:8:1,105630,a,22400,4.0
11/15 12:8:2,248070,a,-26650,3.0
11/15 12:8:2,248070,a,26800,3.0
11/15 12:8:2,248070,a,26800,
11/15 12:8:2,248070,a,26800,3.0
11/15 12:8:2,248070,a,26800,
11/15 12:8:2,248070,a,26800,
11/15 12:8:2,248070,a,26800,0.0
11/15 12:8:3,248070,a,-26650,3.0
11/15 12:8:3,248070,a,26800,3.0
11/15 12:8:3,248070,a,26800,
11/15 12:8:3,248070,a,26800,1.0
11/15 12:8:3,248070,a,26800,
11/15 12:8:3,248070,a,26800,0.0
11/15 12:8:3,248070,a,-26650,3.0
11/15 12:8:3,248070,a,26800,3.0
11/15 12:8:4,248070,a,26800,
11/15 12:8:4,248070,a,26800,
11/15 12:8:4,248070,a,26800,
11/15 12:8:4,248070,a,26800,2.0
11/15 12:8:4,248070,a,26800,5.0
11/15 12:8:4,248070,a,-26650,3.0
11/15 12:8:4,248070,a,26800,3.0
11/15 12:8:5,248070,a,-26650,3.0
11/15 12:8:5,248070,a,26800,3.0
11/15 12:8:5,248070,a,26800,
11/15 12:8:5,248070,a,26800,
11/15 12:8:5,248070,a,26800,2.0
11/15 12:8:6,248070,a,26800,
11/15 12:8:6,248070,a,26800,0.0
11/15 12:8:6,248070,a,-26650,3.0
11/15 12:8:6,248070,a,26800,3.0
11/15 12:8:7,248070,a,26800,
11/15 12:8:7,248070,a,-26650,3.0
11/15 12:8:7,248070,a,26800,3.0
11/15 12:8:7,248070,a,26800,
11/15 12:8:7,248070,a,26800,
11/15 12:8:7,248070,a,26800,3.0
11/15 12:8:7,248070,a,26800,
11/15 12:8:7,248070,a,26800,
11/15 12:8:7,248070,a,26800,6.0
11/15 12:8:7,248070,a,26800,9.0
11/15 12:8:7,248070,a,-26650,3.0
11/15 12:8:7,248070,a,26800,3.0
11/15 12:8:7,248070,a,-26650,3.0
11/15 12:8:7,248070,a,26800,3.0
11/15 12:8:58,248070,a,-26650,3.0
11/15 12:8:58,248070,a,26800,3.0
11/15 12:8:58,105630,a,-22250,4.0
11/15 12:8:58,105630,a,22400,4.0
11/15 12:8:58,248070,a,26800,
11/15 12:8:58,248070,a,26800,
11/15 12:8:58,248070,a,26800,6.0
11/15 12:8:59,105630,a,22400,
11/15 12:8:59,105630,a,22400,
11/15 12:8:59,105630,a,22400,0.0
11/15 12:8:59,248070,a,26800,
11/15 12:8:59,248070,a,26800,7.0
11/15 12:8:59,248070,a,-26650,3.0
11/15 12:8:59,248070,a,26800,3.0
11/15 12:8:59,248070,a,-26650,3.0
11/15 12:8:59,248070,a,26800,3.0
11/15 12:8:59,248070,a,26800,
11/15 12:8:59,248070,a,26800,
11/15 12:8:59,248070,a,26800,4.0
11/15 12:9:0,248070,a,26800,
11/15 12:9:0,248070,a,26800,0.0
11/15 12:9:0,248070,a,-26650,3.0
11/15 12:9:0,248070,a,26800,3.0
11/15 12:9:1,248070,a,26800,
11/15 12:9:1,248070,a,-26650,3.0
11/15 12:9:1,248070,a,26800,3.0
11/15 12:9:1,248070,a,26800,
11/15 12:9:1,248070,a,26800,
11/15 12:9:1,248070,a,26800,1.0
11/15 12:9:1,248070,a,-26650,3.0
11/15 12:9:1,248070,a,26800,3.0
11/15 12:9:3,248070,a,26800,
11/15 12:9:28,248070,a,-26650,3.0
11/15 12:9:28,248070,a,26800,3.0
11/15 12:9:28,248070,a,26800,
11/15 12:9:28,248070,a,26800,
11/15 12:9:28,248070,a,26800,8.0
11/15 12:9:29,248070,a,26800,
11/15 12:9:29,248070,a,26800,0.0
11/15 12:9:29,248070,a,26800,
11/15 12:9:29,248070,a,26800,3.0
11/15 12:9:29,248070,a,-26650,3.0
11/15 12:9:29,248070,a,26800,3.0
11/15 12:9:29,248070,a,26800,
11/15 12:9:30,248070,a,26800,0.0
11/15 12:9:30,248070,a,26800,
11/15 12:12:8,1450,a,-29750,3.0
11/15 12:12:9,1450,a,29900,3.0
11/15 12:12:9,1450,a,29900,
11/15 12:12:9,1450,a,29900,
11/15 12:12:9,1450,a,29900,6.0
11/15 12:12:9,1450,a,29900,
11/15 12:12:9,1450,a,29900,0.0
11/15 12:12:10,248070,a,-26650,3.0
11/15 12:12:10,248070,a,26800,3.0
11/15 12:12:10,1450,a,29900,
11/15 12:12:10,1450,a,29900,3.0
11/15 12:12:10,1450,a,-29750,3.0
11/15 12:12:10,1450,a,29900,3.0
11/15 12:12:10,248070,a,26800,
